資料集Id,資料集名稱,資料集提供機關名稱,資料集連結,主要欄位說明,資料資源下載連結,資料資源檔案格式,metadata文字編碼
31500,桃園市義勇消防人員數,桃園市政府消防局,data.gov.tw/node/31500,機關別、性別、職務、年齡,http://data.tycg.gov.tw/opendata/datalist/datasetMeta/download?id=d2916843-9802-4814-b246-8a93f35bfa49&rid=ad00125f-c3b3-44b3-a083-081f924f668c,CSV,UTF-8
31501,桃園市政府警察局101年桃園分局預算表,桃園市政府警察局,data.gov.tw/node/31501,"1.年度：預算所屬年度。
2.預算別：分為歲入來源別及歲出機關別。
3.機關：預算所屬機關。
4.款、項、目、節：預算所屬之款、項、目、節。
5.名稱：預算名稱。
6.預算數：單位為新臺幣/元。",http://data.tycg.gov.tw/opendata/datalist/datasetMeta/download?id=e5fc5dce-9b36-47a8-b08a-9f905d8e285f&rid=dc8cf064-5f3b-40ec-8622-329bbb86676c,CSV,UTF-8
31551,2016台灣燈會官網Google Analytics分析資料,桃園市政府研究發展考核委員會,data.gov.tw/node/31551,"時間索引,日期範圍,區隔(所有使用者、行動裝置流量、平板電腦和桌上型電腦流量),量化指標(新工作階段%、工作階段、平均工作階段時間長度、使用者、單次工作階段頁數、跳出率、瀏覽量)",http://data.tycg.gov.tw/opendata/datalist/datasetMeta/download?id=033bb6d2-24f3-4efb-a860-a4953930f9e8&rid=4aeb1941-83ae-4d2e-abb1-7a721013ccd9,CSV,UTF-8
31578,桃園市最新非法營業旅宿名單,桃園市政府觀光旅遊局,data.gov.tw/node/31578,業別(旅館或民宿)、名稱(非法營業旅宿名稱)、地址(非法營業旅宿地址),http://data.tycg.gov.tw/opendata/datalist/datasetMeta/download?id=64a896aa-a6aa-4362-90fb-4270d90ff625&rid=825f8021-d5d4-4568-8495-2a627fb7e7b2,CSV,UTF-8
31579,桃園市政府警察局101年局本部預算表,桃園市政府警察局,data.gov.tw/node/31579,"1.年度：預算所屬年度。
2.預算別：分為歲入來源別及歲出機關別。
3.機關：預算所屬機關。
4.款、項、目、節：預算所屬之款、項、目、節。
5.名稱：預算名稱。
6.預算數：單位為新臺幣/元。",http://data.tycg.gov.tw/opendata/datalist/datasetMeta/download?id=372e2414-4367-40de-9bbc-43c6f4020b18&rid=d22d97a0-0049-4cd9-a61d-04c383ffcf48,CSV,Big5
31580,2015桃園好棧得獎業者,桃園市政府觀光旅遊局,data.gov.tw/node/31580,報名組別(Hotel、Motel、B&B)、名稱(得獎業者名稱)、地址(得獎業者地址)、官網(得獎業者官網連結)、連絡電話(得獎業者連絡電話),http://data.tycg.gov.tw/opendata/datalist/datasetMeta/download?id=a375f331-af52-4c34-9154-e061b643f20a&rid=b09c8e2f-57b7-47cb-bfd2-39dc3524f367,CSV,UTF-8
31581,桃園市政府觀光旅遊局對民間團體補(捐)助經費資料,桃園市政府觀光旅遊局,data.gov.tw/node/31581,"工作計畫科目名稱、補助事項或用途、補助對象、主辦機關、累計撥付金額、有無涉及財物或勞務採購、處理方式(如未涉及採購則毋須填列，如採公開招標，請填列得標廠商)、是否為除外規定之民間團體
",http://data.tycg.gov.tw/opendata/datalist/datasetMeta/download?id=56a82e54-7b48-4cca-9a34-de10153c7a8f&rid=d32d1b9b-24ff-458e-94b1-a88c3706cdc2,CSV,UTF-8
31653,桃園市103年每月觀光遊憩區遊客人次資料,桃園市政府觀光旅遊局,data.gov.tw/node/31653,觀光遊憩區別(風景遊樂區名稱)門票收入(以新台幣為單位)遊客人次(當月遊客人次)上年同月份遊客人次(上年同月份遊客人次)增減數(與上年同月份相比)成長率(與上年同月份相比)備註(人次計算方式) ,http://data.tycg.gov.tw/opendata/datalist/datasetMeta/download?id=5b8fd3dd-f3e1-4949-a85e-207092539655&rid=717f7894-a813-4f7b-b96e-92344aaf49b9,CSV,UTF-8
31654,桃園市領有溫泉標章之溫泉使用事業名單,桃園市政府觀光旅遊局,data.gov.tw/node/31654,標章號、業者名稱、位於核定溫泉區、行政區、地址、有效起始日、到期日、有效起始日(換發)、到期日(換發),http://data.tycg.gov.tw/opendata/datalist/datasetMeta/download?id=d47a5725-6708-43d8-86d3-1a04b647ec6f&rid=ab032917-c2e5-409b-abc8-13bdb34e813f,CSV,UTF-8
31734,桃園市105年每月觀光遊憩區遊客人次資料,桃園市政府觀光旅遊局,data.gov.tw/node/31734,觀光遊憩區別(風景遊樂區名稱)門票收入(以新台幣為單位)遊客人次(當月遊客人次)上年同月份遊客人次(上年同月份遊客人次)增減數(與上年同月份相比)成長率(與上年同月份相比)備註(人次計算方式) ,http://data.tycg.gov.tw/opendata/datalist/datasetMeta/download?id=74887214-eebb-422d-a648-40b7ee0c8df3&rid=5baf60f5-ad36-4897-a896-7893597312cc,CSV,UTF-8
31735,桃園市政府消防局104年蘇迪勒颱風天然災害人員傷亡、建物損失、重大災害財物損失報表,桃園市政府消防局,data.gov.tw/node/31735,區域別，人員傷亡總計_人，死亡人數_男_0至未滿12歲，死亡人數_男_12至未滿18歲，死亡人數_男_18至未滿65歲，死亡人數_男_65歲以上，死亡人數_女_0至未滿12歲，死亡人數_女_12至未滿18歲，死亡人數_女_18至未滿65歲，死亡人數_女_65歲以上，失蹤人數_男_0至未滿12歲，失蹤人數_男_12至未滿18歲，失蹤人數_男_18至未滿65歲，失蹤人數_男_65歲以上，失蹤人數_女_0至未滿12歲，失蹤人數_女_12至未滿18歲，失蹤人數_女_18至未滿65歲，失蹤人數_女_65歲以上，重傷人數_男_0至未滿12歲，重傷人數_男_12至未滿18歲，重傷人數_男_18至未滿65歲，重傷人數_男_65歲以上，重傷人數_女_0至未滿12歲，重傷人數_女_12至未滿18歲，重傷人數_女_18至未滿65歲，重傷人數_女_65歲以上，輕傷人數_男_0至未滿12歲，輕傷人數_男_12至未滿18歲，輕傷人數_男_18至未滿65歲，輕傷人數_男_65歲以上，輕傷人數_女_0至未滿12歲，輕傷人數_女_12至未滿18歲，輕傷人數_女_18至未滿65歲，輕傷人數_女_65歲以上，建物損失_建物全倒_棟，建物損失_建物全倒_戶，建物損失_建物半倒_棟，建物損失_建物半倒_戶，搶救災民人數，被毀損車輛數_總計，被毀損車輛數_大型車，被毀損車輛數_小型車，被毀損車輛數_特種車，被毀損車輛數_機車，被毀損車輛數_其他，財物損失估值總計_千元，財物損失估值_建物_千元，財物損失估值_車輛_千元，財物損失估值_其他_千元,http://data.tycg.gov.tw/opendata/datalist/datasetMeta/download?id=6219016f-3fee-4401-a092-436094a8bc21&rid=06a52725-6224-4224-a04d-0970ad8a4b8b,CSV,UTF-8
31736,桃園資料開放平台GOOGLE ANALYTICS分析資料,桃園市政府研究發展考核委員會,data.gov.tw/node/31736,"時間索引,日期範圍,區隔(所有使用者、行動裝置流量、平板電腦和桌上型電腦流量),量化指標(新工作階段%、工作階段、平均工作階段時間長度、使用者、單次工作階段頁數、跳出率、瀏覽量) ",http://data.tycg.gov.tw/opendata/datalist/datasetMeta/download?id=fd49471c-79bf-4131-8ca5-39fe1869a4b1&rid=ff9a7785-57ce-4300-aae1-375b352377b2,CSV,UTF-8
31805,104年度桃園市政府資訊中心預算資料,桃園市政府研究發展考核委員會,data.gov.tw/node/31805,"1.104年歲入來源別預算表：款、款編號、款名稱、項、項編號、項名稱、目、目編號、目名稱、節、節編號、節名稱、本年度預算數、上年度預算數、前年度決算數、本年度與上年度比較、說明及法令依據
2.104年歲出機關別預算表：款、款編號、款名稱、項、項編號、項名稱、目、目編號、目名稱、節、節編號、節名稱、本年度預算數、上年度預算數、前年度決算數、本年度與上年度比較、說明",http://data.tycg.gov.tw/opendata/datalist/datasetMeta/download?id=3b6ec2ac-bb7d-4236-92ff-397440d98b2b&rid=38ef862e-3686-4173-9c07-13944fac317d,XLS,UTF-8
31806,104年度桃園市政府資訊中心決算資料,桃園市政府研究發展考核委員會,data.gov.tw/node/31806,"1.歲入來源別決算表：款、款編號、款名稱、項、項編號、項名稱、目、目編號、目名稱、節、節編號、節名稱、本年度預算數、預算增減數、實現數、已預收之數、尚未收入數、保留數、比較增減數、說明
2.歲出機關別決算表：款、款編號、款名稱、項、項編號、項名稱、目、目編號、目名稱、節、節編號、節名稱、本年度預算數、預算增減數、實現數、已預收之數、尚未收入數、保留數、比較增減數、剔除經費繳庫數、說明
3.以前年度歲出轉入數決算表：款、款編號、款名稱、項、項編號、項名稱、目、目編號、目名稱、節、節編號、節名稱、以前年度轉入數應付數、以前年度轉入數保留數、本年度減免(註銷)數應付數、本年度減免(註銷)數保留數、本年度實現數應付數、本年度實現數保留數、本年度調整數應付數、本年度調整數保留數、本年度未結清數應付數、本年度未結清數保留數、說明
4.歲入類平衡表：資產科目名稱、資產科目編號、資產金額、負債科目名稱、負債科目編號、負債金額
5.經費類平衡表：資產科目名稱、資產科目編號、資產金額、負債科目名稱、負債科目編號、負債金額",http://data.tycg.gov.tw/opendata/datalist/datasetMeta/download?id=c3a4856e-c882-4d63-8e31-4daa93cde924&rid=bf8e0cc6-04d2-4bca-961b-c6dc4a9ff3fc,XLS,UTF-8
31807,105年度桃園市政府資訊中心預算資料,桃園市政府研究發展考核委員會,data.gov.tw/node/31807,"1.105年歲入來源別預算表：款、款編號、款名稱、項、項編號、項名稱、目、目編號、目名稱、節、節編號、節名稱、本年度預算數、上年度預算數、前年度決算數、本年度與上年度比較、說明及法令依據
2.105年歲出機關別預算表：款、款編號、款名稱、項、項編號、項名稱、目、目編號、目名稱、節、節編號、節名稱、本年度預算數、上年度預算數、前年度決算數、本年度與上年度比較、說明",http://data.tycg.gov.tw/opendata/datalist/datasetMeta/download?id=e9e86baf-49df-4281-b2d6-d9522433164a&rid=98e7169c-bd67-4d36-82b0-57d1932b0b09,XLS,UTF-8
31872,航空城都市計畫-附近地區第一期發展區區段徵收面積表,桃園市政府都市發展局,data.gov.tw/node/31872,"項目	第二種住宅區	第三種住宅區	第四種住宅區	第五種住宅區	第五種住宅區_合宜住宅使用	第一種商業區	第二種商業區	第三種商業區	第四種商業區	第三種產業專用區	第四種產業專用區 	車站專用區	宗教專用區	電信專用區	加油站專用區	灌溉設施專用區	農業專用區	河川區	公園用地	綠地用地	廣場用地	停車場用地	文中小用地	文高用地	機關用地	污水處理廠用地	變電所用地	電路鐵塔用地	捷運系統用地	高速公路用地	道路用地
",http://data.tycg.gov.tw/opendata/datalist/datasetMeta/download?id=4255031c-d51f-45f2-b420-71754fb20057&rid=89355f7b-0b2a-4923-9fac-93db0d777999,CSV,UTF-8
31873,航空城都市計畫-附近地區第二期發展區區段徵收面積表,桃園市政府都市發展局,data.gov.tw/node/31873,"項目	第二種住宅區	第三種住宅區	第四種住宅區	第五種住宅區	第五種住宅區_供合宜住宅使用	第一種商業區	第二種商業區	第三種商業區	乙種工業區	第三種產業專用區	車站專用區	電信專用區	瓦斯事業專用區	灌溉設施專用區	河川區	公園用地	綠地用地	停車場用地	文中小用地	機關用地	電路鐵塔用地	高速公路用地	道路用地
",http://data.tycg.gov.tw/opendata/datalist/datasetMeta/download?id=1731014f-f29b-4dd2-93a4-9c3fb47ea44f&rid=ab268e6c-3bf8-403f-9587-634038603970,CSV,UTF-8
31874,桃園市都市更新地區(97~105年),桃園市政府都市發展局,data.gov.tw/node/31874,"編號	行政區,更新地區,公告日期,位置,面積_公頃
",http://data.tycg.gov.tw/opendata/datalist/datasetMeta/download?id=bb3c7420-d2a6-45ec-a288-a732241d7819&rid=1cb3fda2-f78b-489a-82c9-b7628621fef1,CSV,UTF-8
31875,航空城都市計畫土地使用計畫面積表,桃園市政府都市發展局,data.gov.tw/node/31875,"項目	第一種住宅區	第一之一種住宅區	第二種住宅區	第三種住宅區	第四種住宅區	第五種住宅區	第五種住宅區 _供安置住宅使用	第五種住宅區_合宜住宅使用	第一種商業區	第二種商業區	第三種商業區	第四種商業區	乙種工業區	零星工業區	機場專用區	機場專用區_兼供道路使用	機場專用區_兼供廣場使用	第一種自由貿易港專用區	第二種自由貿易港專用區	第一種產業專用區	第二種產業專用區	第二之一種產業專用區	第三種產業專用區	第四種產業專用區	車站專用區	宗教專用區	電信專用區	瓦斯事業專用區	加油站專用區	埤塘專用區	灌溉設施專用區	農業專用區	河川區	河川區_兼供機場專用區使用	河川區_兼供捷運系統使用	河川區_兼供高速公路使用	河川區_兼供園林道路使用	河川區_兼供道路使用	公園用地	綠地用地	廣場用地	停車場用地	文小用地 	文中小用地	文高用地	機關用地	污水處理廠用地	變電所用地	電路鐵塔用地	捷運系統用地	捷運系統用地_兼供園林道路使用	捷運系統用地_兼供道路使用	高速公路用地	高速公路用地_兼供捷運系統使用	高速公路用地_兼供園林道路使用	高速公路用地_兼供道路使用	園林道路用地 	道路用地
",http://data.tycg.gov.tw/opendata/datalist/datasetMeta/download?id=075b9611-28d9-4931-a2ad-8f6f04bde47a&rid=cbea96a5-13eb-4032-af63-444378c83cf2,CSV,UTF-8
